Ticket_ID,llm_score
TKT-110650,0
TKT-102041,2
TKT-108668,2
TKT-101114,0
TKT-113902,0
TKT-111963,1
TKT-111072,2
TKT-103002,0
TKT-119771,2
TKT-108115,2
TKT-103525,2
TKT-107879,0
TKT-116441,0
TKT-116296,0
TKT-112566,0
TKT-105252,0
TKT-119393,3
TKT-116796,0
TKT-108094,0
TKT-100322,2
TKT-109923,0
TKT-107459,0
TKT-119024,2
TKT-117553,0
TKT-109119,0
TKT-116421,0
TKT-116060,0
TKT-110120,3
TKT-119055,2
TKT-103649,2
TKT-103941,2
TKT-117880,2
TKT-116675,2
TKT-112630,1
TKT-111443,0
TKT-112157,0
TKT-113835,0
TKT-103434,3
TKT-118739,0
TKT-117407,2
TKT-115440,0
TKT-110406,3
TKT-106517,0
TKT-100971,0
TKT-116487,0
TKT-119730,2
TKT-113137,0
TKT-103669,0
TKT-115983,0
TKT-104058,2
TKT-114976,0
TKT-115698,0
TKT-113829,0
TKT-113419,0
TKT-100960,0
TKT-117744,0
TKT-109864,3
TKT-111263,0
TKT-115782,2
TKT-117196,0
TKT-107554,2
TKT-110498,0
TKT-117059,1
TKT-117928,2
TKT-107085,2
TKT-114753,1
TKT-104519,0
TKT-103024,2
TKT-112121,2
TKT-118494,0
TKT-105483,0
TKT-101419,0
TKT-106209,0
TKT-110742,0
TKT-116143,0
TKT-117617,0
TKT-114568,0
TKT-100980,2
TKT-102783,2
TKT-107713,0
TKT-111518,1
TKT-108600,0
TKT-111640,0
TKT-118830,3
TKT-112562,0
TKT-112751,0
TKT-106384,0
TKT-104807,3
TKT-106195,0
TKT-110648,2
TKT-107567,2
TKT-116397,2
TKT-117524,2
TKT-101346,0
TKT-113124,2
TKT-112673,3
TKT-115455,1
TKT-114001,0
TKT-118621,2
TKT-102119,0
TKT-115304,2
TKT-104309,0
TKT-104484,0
TKT-111013,0
TKT-104770,0
TKT-102712,0
TKT-112186,0
TKT-116615,2
TKT-110947,3
TKT-102545,0
TKT-112619,3
TKT-109851,2
TKT-104410,0
TKT-119647,0
TKT-112344,1
TKT-112407,1
TKT-109610,0
TKT-110718,2
TKT-107571,0
TKT-103570,0
TKT-108602,2
TKT-103559,0
TKT-104991,0
TKT-107439,0
TKT-109325,0
TKT-102300,2
TKT-107666,2
TKT-105804,1
TKT-112022,2
TKT-115537,0
TKT-109757,1
TKT-112014,0
TKT-105211,2
TKT-111548,2
TKT-112366,0
TKT-109270,2
TKT-103975,0
TKT-116090,2
TKT-117232,0
TKT-117443,2
TKT-113656,0
TKT-115645,0
TKT-102730,2
TKT-103298,0
TKT-108956,0
TKT-117410,0
TKT-115155,1
TKT-117276,0
TKT-106703,0
TKT-101968,2
TKT-104936,0
TKT-102112,2
TKT-100878,0
TKT-119075,1
TKT-112989,2
TKT-107277,0
TKT-105709,0
TKT-112078,2
TKT-106687,0
TKT-106418,0
TKT-110431,0
TKT-109982,0
TKT-119073,0
TKT-104629,2
TKT-108862,0
TKT-104667,0
TKT-114163,0
TKT-100385,2
TKT-104186,0
TKT-105345,2
TKT-102195,0
TKT-114990,0
TKT-112634,3
TKT-101077,2
TKT-106286,0
TKT-105933,2
TKT-118512,0
TKT-119717,0
TKT-113363,3
TKT-108072,0
TKT-117020,2
TKT-109543,0
TKT-119094,0
TKT-113355,1
TKT-118631,1
TKT-102848,0
TKT-112791,2
TKT-107722,0
TKT-100812,3
TKT-111193,0
TKT-105135,0
TKT-108510,0
TKT-107434,0
TKT-116476,2
TKT-100936,0
TKT-111965,0
TKT-101692,0
TKT-106216,2
TKT-109459,0
TKT-112527,0
TKT-115484,0
TKT-105792,0
TKT-112266,0
TKT-102221,2
TKT-115757,0
TKT-104693,0
TKT-110108,0
TKT-105107,0
TKT-113480,0
TKT-104745,0
TKT-101604,0
TKT-117395,2
TKT-116863,0
TKT-108213,0
TKT-101092,0
TKT-113884,1
TKT-106311,0
TKT-109012,0
TKT-100351,0
TKT-114782,0
TKT-101530,2
TKT-113591,0
TKT-115215,0
TKT-111540,0
TKT-100218,0
TKT-106813,2
TKT-105357,2
TKT-115729,0
TKT-113043,0
TKT-101453,0
TKT-114932,0
TKT-104740,0
TKT-102814,1
TKT-107886,2
TKT-104973,2
TKT-101182,2
TKT-110035,3
TKT-103947,1
TKT-103189,0
TKT-114480,2
TKT-119826,1
TKT-109623,0
TKT-101006,1
TKT-102325,0
TKT-110645,0
TKT-119523,2
TKT-117725,0
TKT-105743,0
TKT-112680,3
TKT-114583,0
TKT-119257,0
TKT-111881,0
TKT-101027,0
TKT-104069,0
TKT-118572,0
TKT-114652,2
TKT-106650,0
TKT-115783,0
TKT-117648,0
TKT-104622,2
TKT-110385,0
TKT-113670,2
TKT-114046,2
TKT-101962,0
TKT-119874,0
TKT-101599,0
TKT-109675,0
TKT-110952,0
TKT-104333,2
TKT-112099,2
TKT-106955,0
TKT-118821,0
TKT-108545,0
TKT-115974,0
TKT-113722,2
TKT-100695,0
TKT-115630,0
TKT-113589,0
TKT-114521,2
TKT-119917,2
TKT-109770,2
TKT-113377,0
TKT-101034,0
TKT-110842,0
TKT-116592,3
TKT-110421,2
TKT-110979,0
TKT-102127,0
TKT-112187,0
TKT-105970,0
TKT-113225,1
TKT-100993,2
TKT-115084,2
TKT-114845,2
TKT-114945,0
TKT-100447,2
TKT-117277,0
TKT-105453,0
TKT-103211,2
TKT-105561,0
TKT-118911,0
TKT-103210,2
TKT-113813,0
TKT-108966,2
TKT-117653,1
TKT-110649,3
TKT-119714,2
TKT-103971,0
TKT-110807,0
TKT-119544,0
TKT-111366,0
TKT-103778,0
TKT-113079,0
TKT-106352,0
TKT-104007,3
TKT-103776,1
TKT-117147,2
TKT-114104,1
TKT-119145,1
TKT-119183,0
